region_code,category_id,video_id,title,published_at,view_count,like_count,comment_count,channel_title
US,1,IrVo_QLtrbA,Ultra Meme Mashaa face_screaming_in_fearface_screaming_in_fearface_screaming_in_fear (Animation Meme),2024-06-16,4575075,90834,358,Crazzy Toon
US,1,8E-TG-ZftUM,when my dad gave me “The Talk”,2024-06-16,460511,77363,148,Trevor Wallace
US,1,xWDsKepJVFs,Where’s my antidepressant gang at?! fireman_raising_hand_medium_skin_tone,2024-06-09,1677607,146332,1679,Nicolas Roman
US,1,uBP1VZvl0NQ,This grandpa hurt his grandson’s feelings face_with_tears_of_joy,2024-06-08,4263763,215080,3341,Dylan Anderson
US,1,yIiq81tQzHE,When Your Mom Gets Grounded,2024-06-15,1239931,97266,646,Shooteo
US,1,GT63Qun66xs,Mayonnaise Round 2,2024-06-17,586830,62853,542,Wincel
US,1,-rihdzoVL3M,Real things I’ve seen as a Paramedic. I’ve never been happier to be on a call in my life.,2024-06-06,5604735,508524,1748,Fire Department Chronicles
US,1,7vbUou_sSK0,WHEN YOU SEE YOUR TEACHER IN PUBLIC face_with_tears_of_joy,2024-06-09,1064601,17704,24,Kia Nalbandi
US,1,9AOvJv0hCyk,Earth Is Closed Today || Avengers: Infinity War,2024-06-05,7831906,375725,1333,Binge Heroes
US,1,f9i_bmmcNac,FOOLED THE GUARDnauseated_face,2024-06-11,25056758,344015,261,INO
US,1,M-Lhg4oN1zs,6 year old Monster - D&D World Heritage Posts,2024-06-10,1677601,210802,531,ZacSpeaksGiant
US,1,YnrMnfE4dhg,If Shark Tank Was Asian Season 2: Dehydrated Water,2024-06-16,832014,92216,321,Steven He
US,1,_MV5iXbDJkU,Deny Deny Deny || Diary of a Wimpy Kid Edit,2024-06-10,2816729,175263,1056,Balumalu
US,1,pv_iYuxkeCU,My Brother Painted My Car Pink...,2024-05-26,787950,23104,2279,McJuggerNuggets
US,1,TWVbZ0WQ3s8,"Jon Stewart Smashes the Myth of Corporate Morality in Pride, BLM, and Beyond | The Daily Show",2024-06-11,2999355,99012,5153,The Daily Show
US,1,VqLhiAK0Xzg,"Carrying $30,000 In A Clear Backpack In A Hoodface_with_tears_of_joyOUT NOW!! YT:Famousque",2024-06-10,1260403,83028,1605,FamousQue
US,1,ZO86_l_wskE,Farting gone wrong skull | Sound: @NutshellAnimations,2024-06-10,1872242,85521,522,Xainah
US,1,mp88N6ItZko,My Criminal Dogs,2024-06-14,3055366,113214,16176,Haminations
US,1,yLuUXLWR9Yc,DUO LINGO: Chucklebone,2024-06-06,7583273,621869,5122,Chuckle Bone
US,1,goFrxQkV3D8,WHY WAS GUMBALL BOUNCING ON HIMskull?,2024-06-10,1364150,70278,648,Lance Reactz
US,1,IKEfFpZrnUU,What DROWNING Is Really Like?,2024-06-12,1949362,169684,2795,Danno Cal Drawings
US,1,yp9im9LwDqk,Why Hulk Respects only Captain America face_without_mouth,2024-06-02,3083011,0,383,I'm Tom
US,1,NxlZJwA5_s4,When Dads pack your LUNCH rolling_on_the_floor_laughing,2024-06-11,1352764,61634,246,TheCrazyGorilla
US,1,midfq9oi0XE,When Your Mom Takes Your Siderolling_on_the_floor_laughingskull|Sound:@simonbreaofficial,2024-06-03,14584412,505656,1453,Cookiecookie
US,1,KR_8z7u5WNU,WHO MADE THIS face_with_tears_of_joyloudly_crying_faceskull_and_crossbones,2024-06-06,3515555,253557,2554,SIXPATHSSS
US,1,nOUwxYihZy0,WHEN YOU PRANK YOUR TEACHER,2024-06-15,802256,14496,34,RAWWFishing
US,1,8j9NiWBWtTA,DOMINO EFFECT part 4: PINS & NEEDLES [FULL COMEDY SPECIAL] by Ali Siddiq,2024-06-16,440817,29430,2549,Ali Siddiq
US,1,SVp8z6umqWo,miren que pasó thinking_face,2024-05-19,7223443,298199,884,SEMANA  RECORD
US,1,fTCoTXlYXw8,This Is Called WRizz 2.0,2024-06-14,584863,38629,197,Wno
US,1,l_FnX8nGtk8,Cuando a tu compañero lo dejan de encargado en la oficina grinning_face_with_sweatface_with_tears_of_joy,2024-06-09,2446534,61246,261,Distrito Comedia
US,1,WC3v4QTHlEM,Frieza Returns! (dbs edit),2024-06-15,590417,49395,378,ariki Anime
US,1,4brnaPmUWfg,Whose girlfriend learned how to cook on TikTok? RENE VACA,2024-06-10,1487159,87790,672,Rene Vaca
US,1,HVY9DuD9kWQ,The Itsy-Bitsy Spiders,2024-06-08,4754204,328900,3532,TheOdd1sOut
US,1,0rDrftWdS1g,Zoe gets turned down by JAYSHAUN,2024-06-12,729479,37523,1837,RealxShawn
US,1,4VLgJBAQEKA,4 Disturbing Facts About INSIDE OUT 2,2024-06-12,1821706,148327,786,LittleChap
US,1,u0vEYaxoaIc,WHAT KIDS SEE vs WHAT PARENTS SEE PT. 5,2024-06-13,1403671,45028,110,Jooj Natu ENG
US,1,pJiOGhuK4Eo,went axe throwing for the first time,2024-06-11,2196212,212767,1031,minbitt
US,1,Mp-06m7iZ8M,Jim meets the Coopers,2024-06-11,2085889,0,274,Cooper House
US,1,JSiNosVuj7A,Smiling Friends | Season 2 | Flat Earth | Adult Swim UK United_Kingdom,2024-06-12,755482,71808,763,Adult Swim UK
US,1,DTak8KXL-Fk,"I hit 10,000,000 subscribers face_with_tears_of_joy",2024-06-11,2976943,125172,1175,KEEMOKAZI
US,1,GtIzyBm12ww,What Being A Teen Is Like,2024-06-09,765191,71633,391,Nikko Ortiz Shorts
US,1,73y32mXowAk,Criminal took his anger out on the potato chips,2024-06-03,11266023,728285,5302,FlexxFlixx
US,1,4HytYAPP83Y,What’s your go-to movie snack? popcorncup_with_straw,2024-06-13,1378809,87210,1286,Pixar
US,1,66IrlAL7Q0A,SUNBURNSrolling_on_the_floor_laughinghot_face // POWERPUFF GIRLS |,2024-06-11,2442605,110759,92,Cartoons Recaps
US,1,JC4aDdE47NI,She wanted to return a pair of shoes…,2024-06-15,938266,72021,145,Clarity Clips
US,1,H7fky_wozqs,Preciosa imitación de Chicky,2024-06-06,17785523,301392,0,¿Dónde está Chicky? - Dibujos Animados en español
US,1,5k56KY5JHgs,i broke a law from 1896,2024-06-02,16037941,1439451,2328,Max Fosh
US,1,i_mUa-6InSI,What’s going on? A snake actually appeared in the operating room…,2024-06-13,1463537,182964,473,Dion Movies Clips
US,1,akVjnqs4R9Q,Dishin' Out Some Magic,2024-06-12,1150918,120469,236,Ryan K. Hudson
US,1,5jv_EbhIeBw,Ralph Barbosa | Canada Need To Be More Like Texas,2024-06-12,602673,31612,370,Comedy Corner
US,1,M1okGOh-43o,Fake cup prank,2024-06-14,1240060,0,243,Wu’s World
